Application number,Applicant,Year of application,Patent system
EP2055718A1,LUDWIG-MAXIMILIANS-UNIVERSITAT,2009,EPO
EP2055781A2,HOLOGIC INC,2009,EPO
EP2066808A2,YEDA,2009,EPO
EP2069375A2,UNIV LOMA LINDA [US],2009,EPO
EP2069389A2,BASF,2009,EPO
EP2071022A1,BIORIGHT WORLDWIDE COMPANY LTD [VG],2009,EPO
EP2078750A1,LUDWIG-MAXIMILIANS-UNIVERSITAT,2009,EPO
EP2080769A2,BASF,2009,EPO
EP2083084A1,"GLYCOFI, INC. (US)",2009,EPO
EP2088201A1,"GLYCOFI, INC. (US)",2009,EPO
EP2090662A2,BASF,2009,EPO
EP2096177A2,BASF,2009,EPO
EP2098535A1,JSR CORPORATION,2009,EPO
EP2100958A1,ZAKRYTOE AKTSIONERNOE OBSCHESTVO 'EVROGEN' (RU),2009,EPO
EP2102327A2,GEVO INC,2009,EPO
EP2104681A2,INSERON INC [US],2009,EPO
EP2110432A2,AGILENT TECHNOLOGIES,2009,EPO
EP2113029A2,UNIVERSITY OF UTAH,2009,EPO
EP2118266A2,UNIVERSITY OF CALIFORNIA,2009,EPO
EP2119771A2,DU PONT,2009,EPO
EP2119794A1,BAYER,2009,EPO
EP2121734A1,CHONNAM NAT UNIVERSITY [KR],2009,EPO
EP2126131A2,GENIZON BIOSCIENCES INC [CA],2009,EPO
EP2128246A1,UNIVERSITY OF CALIFORNIA,2009,EPO
EP2128268A1,"BECTON, DICKINSON AND COMPANY",2009,EPO
EP2133364A1,AJINOMOTO,2009,EPO
EP2138585A1,AJINOMOTO,2009,EPO
EP2157170A1,CHEVRON,2010,EPO
EP2159287A2,"METABOLIX, INC. (US)",2010,EPO
EP2159288A2,"METABOLIX, INC. (US)",2010,EPO
EP2160470A2,DSM IP ASSETS BV,2010,EPO
EP2161331A1,NISHIKAWA RUBBER,2010,EPO
EP2163618A2,JSR CORPORATION,2010,EPO
EP2166067A2,BASF,2010,EPO
EP2166068A2,BASF,2010,EPO
EP2166069A2,BASF,2010,EPO
EP2166070A2,BASF,2010,EPO
EP2166071A2,BASF,2010,EPO
EP2166087A2,BIORIGINAL FOOD & SCIENCE CORP. (CA),2010,EPO
EP2166089A2,BASF,2010,EPO
EP2166090A2,BASF,2010,EPO
EP2167638A2,UNIV ARIZONA [US],2010,EPO
EP2169052A2,BASF,2010,EPO
EP2169053A2,BASF,2010,EPO
EP2172536A2,BASF,2010,EPO
EP2172556A2,INRES,2010,EPO
EP2177605A1,BASF,2010,EPO
EP2180046A1,BASF,2010,EPO
EP2182056A1,BASF,2010,EPO
EP2186821A1,UNIVERSITAT ULM (DE),2010,EPO
EP2189523A1,BAXTER INTERNATIONAL,2010,EPO
EP2189533A1,BASF,2010,EPO
EP2189534A2,BASF,2010,EPO
EP2191841A1,CNRS,2010,EPO
EP2194119A2,CHEVRON,2010,EPO
EP2194140A2,BASF,2010,EPO
EP2199304A1,BASF,2010,EPO
EP2199394A1,BASF,2010,EPO
EP2199395A1,BASF,2010,EPO
EP2199396A1,BASF,2010,EPO
EP2202243A2,UNIVERSITY OF ABERDEEN,2010,EPO
EP2208796A2,THERMO FISHER SCIENTIFIC,2010,EPO
EP2216401A1,NOVOZYMES,2010,EPO
EP2216403A2,BASF,2010,EPO
EP2220218A2,SCRIPPS RESEARCH INSTITUTE,2010,EPO
EP2220247A2,THERMO FISHER SCIENTIFIC,2010,EPO
EP2221382A2,BASF,2010,EPO
EP2225390A1,CARGILL INC,2010,EPO
EP2228386A1,BASF,2010,EPO
EP2229446A2,UNIV GEORGIA [US],2010,EPO
EP2230311A1,EXPRESSTEC,2010,EPO
EP2231868A1,ABBOTT LABORATORIES,2010,EPO
EP2233494A1,YALE UNIVERSITY,2010,EPO
EP2233496A1,RUHR UNI BOCHUM [DE],2010,EPO
EP2234474A2,NATIONAL RESEARCH COUNCIL CANADA,2010,EPO
EP2238231A1,PROTERRO INC,2010,EPO
EP2238261A1,BASF,2010,EPO
EP2275560A2,BASF,2011,EPO
EP2277913A2,UNIVERSITY OF ABERDEEN,2011,EPO
EP2277914A2,UNIVERSITY OF ABERDEEN,2011,EPO
EP2278015A1,DU PONT,2011,EPO
EP2281837A2,UNIVERSITY OF ABERDEEN,2011,EPO
EP2285964A1,UNIVERSITY OF SASKATCHEWAN,2011,EPO
EP2287300A1,IDEMITSU KOSAN,2011,EPO
EP2287317A2,DU PONT,2011,EPO
EP2290085A2,DU PONT,2011,EPO
EP2291553A1,"VERACYTE, INC",2011,EPO
EP2292766A2,TAKARA HOLDINGS,2011,EPO
EP2292767A2,TAKARA HOLDINGS,2011,EPO
EP2294193A2,DSM IP ASSETS BV,2011,EPO
EP2294198A1,FONTERRA,2011,EPO
EP2305717A1,KONINK NL AKADEMIE VAN WETENSCHAPPEN [NL],2011,EPO
EP2314682A2,RIKEN,2011,EPO
EP2314684A1,JSR CORPORATION,2011,EPO
EP2321412A2,BAYER,2011,EPO
EP2322535A2,YALE UNIVERSITY,2011,EPO
EP2325300A1,ABBOTT LABORATORIES,2011,EPO
EP2325304A1,ILLUMINA CAMBRIDGE LTD [GB],2011,EPO
EP2325322A1,AGENUS,2011,EPO
EP2329846A1,UNIV MARYLAND BIOTECH INST [US],2011,EPO
EP2333052A1,ABBOTT LABORATORIES,2011,EPO
EP2333054A2,KIOST,2011,EPO
EP2333071A1,DSM IP ASSETS BV,2011,EPO
EP2333072A1,DSM IP ASSETS BV,2011,EPO
EP2333073A1,DSM IP ASSETS BV,2011,EPO
EP2336155A1,CNRS,2011,EPO
EP2338985A1,INST UNIV DE CIENCIA,2011,EPO
EP2346992A1,MA KESEN [CA]; YING XIANGXIAN [CN],2011,EPO
EP2350132A2,INTERNAT VACCINE INST [KR],2011,EPO
EP2352818A2,ROCHE,2011,EPO
EP2352824A2,CHEVRON,2011,EPO
EP2357243A2,CSIRO,2011,EPO
EP2357244A2,CSIRO,2011,EPO
EP2358882A1,CSIRO,2011,EPO
EP2363492A2,CSIRO,2011,EPO
EP2365097A1,ENTERPRISE IRELAND (BIORESEARCH IRELAND),2011,EPO
EP2366781A1,BASF,2011,EPO
EP2366804A1,GOVERNMENT OF FRANCE,2011,EPO
EP2367947A2,CHEVRON,2011,EPO
EP2371953A1,RIKEN,2011,EPO
EP2374891A2,PRECIGEN,2011,EPO
EP2380982A1,SCRIPPS RESEARCH INSTITUTE,2011,EPO
EP2380984A2,BASF,2011,EPO
EP2381761A1,SAPPHIRE ENERGY INC [US],2011,EPO
EP2383291A2,RSR LIMITED,2011,EPO
EP2383340A2,SCRIPPS RESEARCH INSTITUTE,2011,EPO
EP2386570A1,TARGET HEART BIOTEC S R L [IT],2011,EPO
EP2388332A1,BASF,2011,EPO
EP2392664A2,DU PONT,2011,EPO
EP2395074A1,CHEVRON,2011,EPO
EP2395091A2,BASF,2011,EPO
EP2395092A2,BASF,2011,EPO
EP2395093A2,BASF,2011,EPO
EP2397552A1,NATIONAL RESEARCH COUNCIL CANADA,2011,EPO
EP2402445A1,NATIONAL RESEARCH COUNCIL CANADA,2012,EPO
EP2402448A2,DU PONT,2012,EPO
EP2403939A1,UNIV NANYANG TECH [SG],2012,EPO
EP2404994A1,OTSUKA PHARMACEUTICAL,2012,EPO
EP2404995A1,OTSUKA PHARMACEUTICAL,2012,EPO
EP2405003A1,NATIONAL RESEARCH COUNCIL CANADA,2012,EPO
EP2405004A1,NATIONAL RESEARCH COUNCIL CANADA,2012,EPO
EP2405007A1,DU PONT,2012,EPO
EP2405012A1,DU PONT,2012,EPO
EP2405014A1,IFF,2012,EPO
EP2407488A2,PROCELL THERAPEUTICS INC [KR]; JO DAEWOONG [KR],2012,EPO
EP2407542A1,NATIONAL RESEARCH COUNCIL CANADA,2012,EPO
EP2408795A1,DSM IP ASSETS BV,2012,EPO
EP2408797A2,DSM IP ASSETS BV,2012,EPO
EP2408922A1,DSM IP ASSETS BV,2012,EPO
EP2410061A1,SCHWARZ WOLFGANG,2012,EPO
EP2420253A1,LEADARTIS S L [ES],2012,EPO
EP2438173A2,UNIV OHIO STATE RES FOUND [US],2012,EPO
EP2439271A1,TORAY,2012,EPO
EP2440033A2,EVOGENE,2012,EPO
EP2441828A1,STAZIONE ZOOL ANTON DOHRN [IT],2012,EPO
EP2441832A1,JAPAN TOBACCO INC,2012,EPO
EP2441842A1,DU PONT,2012,EPO
EP2441843A1,DU PONT,2012,EPO
EP2450434A2,BASF,2012,EPO
EP2456875A1,GOVERNMENT OF CHINA,2012,EPO
EP2478008A2,"GRUBER DAVID [US], KAO HUNG-TEH [US], PIERIBONE VINCENT [US]",2012,EPO
EP2479272A1,AJINOMOTO,2012,EPO
EP2480680A1,CHEVRON,2012,EPO
EP2489729A2,UNIV LOMA LINDA [US],2012,EPO
EP2496696A1,AGENCY FOR SCIENCE TECHNOLOGY AMD RESEARCH,2012,EPO
EP2508610A1,BASF,2012,EPO
EP2519097A2,EVOGENE,2012,EPO
EP2519636A1,DSM IP ASSETS BV,2012,EPO
EP2522216A1,DU PONT,2012,EPO
EP2540817A1,IFF,2013,EPO
EP2540832A1,BASF,2013,EPO
EP2543721A1,IFF,2013,EPO
EP2543722A1,CNRS,2013,EPO
EP2543723A1,TORAY,2013,EPO
EP2543732A1,BASF,2013,EPO
EP2543733A1,BASF,2013,EPO
EP2546262A1,BASF,2013,EPO
EP2547773A1,BASF,2013,EPO
EP2547774A1,BASF,2013,EPO
EP2547775A1,BASF,2013,EPO
EP2570426A1,BASF,2013,EPO
EP2571994A1,CORTEVA,2013,EPO
EP2574622A1,BASF,2013,EPO
EP2581385A1,BASF,2013,EPO
EP2583974A1,TU DRESDEN,2013,EPO
EP2584032A2,JOULE UNLIMITED,2013,EPO
EP2585587A2,CODEXIS INC [US],2013,EPO
EP2585604A1,BASF,2013,EPO
EP2590991A2,CODEXIS INC [US],2013,EPO
EP2593555A2,BASF,2013,EPO
EP2596105A2,BASF,2013,EPO
EP2599867A1,JAPAN TOBACCO INC,2013,EPO
EP2599871A2,BASF,2013,EPO
EP2599872A2,BASF,2013,EPO
EP2599873A2,BASF,2013,EPO
EP2599874A2,BASF,2013,EPO
EP2599875A2,BASF,2013,EPO
EP2601964A1,COLUMBIA UNIVERSITY,2013,EPO
EP2606141A2,ZUCHEM INC [US],2013,EPO
EP2615107A1,UNIV BAYREUTH [DE],2013,EPO
EP2615174A2,BASF,2013,EPO
EP2616093A2,SCRIPPS RESEARCH INSTITUTE,2013,EPO
EP2657341A2,BASF,2013,EPO
EP2664670A1,DU PONT,2013,EPO
EP2669369A1,BAYER,2013,EPO
EP2669370A1,BAYER,2013,EPO
EP2669371A1,BAYER,2013,EPO
EP2669372A1,BAYER,2013,EPO
EP2669373A1,BAYER,2013,EPO
EP2673366A2,JOULE UNLIMITED,2013,EPO
EP2679682A1,TOYOBO CO LTD,2014,EPO
EP2684960A1,UNIV BIELEFELD [DE],2014,EPO
EP2689011A1,NOVOZYMES,2014,EPO
EP2689017A2,PROTERRO INC,2014,EPO
EP2690177A1,UNIV DRESDEN TECH [DE],2014,EPO
EP2695938A1,MIE UNIVERSITY,2014,EPO
EP2710153A1,UNIVERSITY OF NEW SOUTH WALES,2014,EPO
EP2711420A1,UNIVERSITY NANJING,2014,EPO
EP2711424A2,BASF,2014,EPO
EP2722670A1,TOKIO INSTITUTE OF TECHNOLOGY,2014,EPO
EP2726599A1,EXXONMOBIL,2014,EPO
EP2734625A1,BASF,2014,EPO
EP2740791A1,MICROCOAT,2014,EPO
EP2749643A1,CNRS,2014,EPO
EP2755465A1,BASF,2014,EPO
EP2770053A1,SCRIPPS RESEARCH INSTITUTE,2014,EPO
EP2787061A1,JOULE UNLIMITED,2014,EPO
EP2789626A2,TEL HASHOMER MEDICAL RESEARCH INFRASTRUCTURE AND SERVICES LTD,2014,EPO
EP2791333A2,STANFORD UNIVERSITY,2014,EPO
EP2791342A1,KIEPPE PATRIMONIAL,2014,EPO
EP2794883A1,HANGZHOU RUIFENG BIOTECHNOLOGY,2014,EPO
EP2796546A1,SCRIPPS RESEARCH INSTITUTE,2014,EPO
EP2813581A1,THERMO FISHER SCIENTIFIC,2014,EPO
EP2825176A1,SCRIPPS RESEARCH INSTITUTE,2015,EPO
EP2826857A1,SAMSUNG ELECTRONICS,2015,EPO
EP2826864A2,BASF,2015,EPO
EP2831257A2,BASF,2015,EPO
EP2836514A1,CHILDRENS MEDICAL CENTER [US],2015,EPO
EP2840131A2,CHEVRON,2015,EPO
EP2841590A2,AXCELLA,2015,EPO
EP2842578A1,GILUPI GMBH,2015,EPO
EP2855699A1,EXXONMOBIL,2015,EPO
EP2857505A2,LONZA,2015,EPO
EP2861059A2,CSIRO,2015,EPO
EP2862938A2,LONZA,2015,EPO
EP2865750A2,BASF,2015,EPO
EP2868743A2,UNIV LOMA LINDA [US],2015,EPO
EP2871235A1,CNRS,2015,EPO
EP2880050A2,BASF,2015,EPO
EP2883959A1,PLASMIA BIOTECH,2015,EPO
EP2889308A1,UNIV HAINAN [CN],2015,EPO
EP2893937A1,TOKYO UNIVERSITY,2015,EPO
EP2893939A1,ECLOSION VENTURES,2015,EPO
EP2894985A2,MASSACHUSETTS INST TECHNOLOGY [US],2015,EPO
EP2898083A1,VIRIDOS,2015,EPO
EP2899205A1,MAX PLANCK SOCIETY,2015,EPO
EP2899207A1,AMIKANA BIOLOG [FR],2015,EPO
EP2909231A1,UNIV NANYANG TECH [SG],2015,EPO
EP2909304A1,EXXONMOBIL,2015,EPO
EP2910639A1,BASF,2015,EPO
EP2920311A1,AGRIVIDA INC [US],2015,EPO
EP2927315A1,CHEVRON,2015,EPO
EP2927317A1,ROCHE,2015,EPO
EP2931914A1,MODERNA,2015,EPO
EP2966981A1,BAYER,2016,EPO
EP2968397A1,MODERNA,2016,EPO
EP2970368A1,BAYER,2016,EPO
EP2970942A1,GLYCOBIA,2016,EPO
EP2971030A2,GLYCOBIA,2016,EPO
EP2971153A1,HARVARD MEDICAL SCHOOL,2016,EPO
EP2975122A2,CHEVRON,2016,EPO
EP2975130A2,BASF,2016,EPO
EP2984162A1,DSM IP ASSETS BV,2016,EPO
EP2986725A1,AGRES LTD [NZ],2016,EPO
EP2990478A1,PROMEGA CORPORATION,2016,EPO
EP2992090A2,BASF,2016,EPO
EP2992102A2,BASF,2016,EPO
EP2992103A2,BASF,2016,EPO
EP2995626A1,CHINA PHARMACEUTICAL UNIVERSITY,2016,EPO
EP2995681A1,UNIV KYUSHU NAT UNIV CORP [JP],2016,EPO
EP2995684A1,UNIV KOREA RES & BUS FOUND [KR],2016,EPO
EP2998393A1,CHEVRON,2016,EPO
EP2998401A2,BASF,2016,EPO
EP3006568A1,CJ CHEILJEDANG CORP,2016,EPO
EP3009516A1,GENECHEM INC,2016,EPO
EP3013971A1,UNIVERSITY OF CALIFORNIA,2016,EPO
EP3029143A1,BASF,2016,EPO
EP3030898A1,GSURF,2016,EPO
EP3056569A2,EVOGENE,2016,EPO
EP3056570A1,BASF,2016,EPO
EP3058078A1,MELT&MARBLE,2016,EPO
EP3059309A1,UNIV KOREA RES & BUS FOUND [KR],2016,EPO
EP3066217A1,UNIV BRITISH COLUMBIA [CA],2016,EPO
EP3066934A1,BASF,2016,EPO
EP3073817A1,CORTEVA,2016,EPO
EP3081642A1,"KYOTO SANGYO UNIVERSITY [JP], HORIBA LTD [JP]",2016,EPO
EP3082405A1,CSIRO,2016,EPO
EP3090041A1,VIRIDOS,2016,EPO
EP3090057A1,UNIV MASSACHUSETTS [US],2016,EPO
EP3099782A2,DSM IP ASSETS BV,2016,EPO
EP3118320A1,BASF,2017,EPO
EP3119899A2,VIRIDOS,2017,EPO
EP3121283A1,BASF,2017,EPO
EP3129479A2,GINKGO,2017,EPO
EP3129493A2,SCRIPPS RESEARCH INSTITUTE,2017,EPO
EP3130664A1,GREEN PHENOL DEVELOPMENT,2017,EPO
EP3137616A1,GINKGO,2017,EPO
EP3139965A2,APPLIED MOLECULAR TRANSPORT,2017,EPO
EP3149153A1,GINKGO,2017,EPO
EP3160482A1,CSIRO,2017,EPO
EP3168300A1,"LALLEMAND HUNGARY LIQUIDITY MAN LLC [HU], UNIV STELLENBOSCH [ZA]",2017,EPO
EP3178937A1,BASF,2017,EPO
EP3180430A1,MIT,2017,EPO
EP3180440A1,IFF,2017,EPO
EP3181687A1,PROMEGA CORPORATION,2017,EPO
EP3181690A1,TOYAMA PREFECTURE,2017,EPO
EP3193815A1,SAFEWHITE,2017,EPO
EP3201340A1,HARVARD MEDICAL SCHOOL,2017,EPO
EP3204498A2,CORTEVA,2017,EPO
EP3220908A1,UNIVERSITY OF SOUTH FLORIDA,2017,EPO
EP3227400A1,BAKER HUGHES INC [US],2017,EPO
EP3230446A1,GINKGO,2017,EPO
EP3234198A1,THERMO FISHER SCIENTIFIC,2017,EPO
EP3244738A1,LUNDEBECK,2017,EPO
EP3244891A1,HARVARD MEDICAL SCHOOL,2017,EPO
EP3246401A1,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES,2017,EPO
EP3253781A1,MEDPACTO INC ,2017,EPO
EP3262065A1,ATRIUM HEALTH,2018,EPO
EP3263594A1,CIGB,2018,EPO
EP3273244A1,SEIKAGAKU CORPORATION,2018,EPO
EP3283617A1,HARVARD MEDICAL SCHOOL,2018,EPO
EP3285798A2,SALK INSTITUTE FOR BIOLOGICAL STUDIES,2018,EPO
EP3302030A1,BAYER,2018,EPO
EP3302032A1,DSM IP ASSETS BV,2018,EPO
EP3307306A2,MIT,2018,EPO
EP3322798A1,TRANSALGAE LTD,2018,EPO
EP3322803A1,BONUMOSE,2018,EPO
EP3325608A1,UNIVERSITY OF TORONTO,2018,EPO
EP3325627A1,UNIVERSITY LAVAL,2018,EPO
EP3333258A2,NOVOZYMES,2018,EPO
EP3334755A1,CELLIVERY THERAPEUTICS INC [KR],2018,EPO
EP3337815A1,CELLIVERY THERAPEUTICS INC [KR],2018,EPO
EP3341400A1,CELLIVERY THERAPEUTICS INC [KR],2018,EPO
EP3344043A2,SCRIPPS RESEARCH INSTITUTE,2018,EPO
EP3350332A1,ADVAXIS INC [US],2018,EPO
EP3351252A1,LOMA LINDA UNIV [US],2018,EPO
EP3354284A1,KOLON LIFE SCIENCE INC [KR],2018,EPO
EP3354739A1,CORTEVA,2018,EPO
EP3355907A1,SILVER CREEK PHARMACEUTICALS INC [US],2018,EPO
EP3360960A1,RIKEN,2018,EPO
EP3362565A1,SANOFI,2018,EPO
EP3366776A1,CJ CHEILJEDANG CORP,2018,EPO
EP3372682A1,UNIVERSITY NANJING,2018,EPO
EP3375876A1,EVONETIX LTD [GB],2018,EPO
EP3376859A1,PROVIVI INC,2018,EPO
EP3377653A1,PEKIN UNIVERSITY,2018,EPO
EP3378936A1,CLARIANT INT LTD [CH],2018,EPO
EP3383408A1,CSIRO,2018,EPO
EP3392656A1,EUROIMMUN,2018,EPO
EP3399033A1,IDEMITSU KOSAN,2018,EPO
EP3406726A1,EPIPLANTA BIOTECH LTD [CN],2018,EPO
EP3409764A1,PROMEGA CORPORATION,2018,EPO
EP3426804A1,HARVARD MEDICAL SCHOOL,2019,EPO
EP3428277A1,AIST,2019,EPO
EP3432902A1,UNIVERSITY OF PENNSYLVANIA,2019,EPO
EP3438245A1,"RESEARCH INSTITUTE OF INNOVATIVE TECH FOR THE EARTH [JP], SUMITOMO BAKELITE CO [JP]",2019,EPO
EP3441466A1,SEIKAGAKU CORPORATION,2019,EPO
EP3443091A1,BENITEC BIOPHARMA,2019,EPO
EP3458107A1,MODERNA,2019,EPO
EP3464311A2,PROVIVI INC,2019,EPO
EP3476400A1,"RHEE JOON HAENG [KR], LEE SHEE EUN [KR], JEONG KWANG JOON [KR], PARK SANG CHUL [KR], TAN WENZHI [KR]",2019,EPO
EP3478848A2,ARDRA BIO,2019,EPO
EP3489361A1,CJ CHEILJEDANG CORP,2019,EPO
EP3498832A1,CNRS,2019,EPO
EP3512566A1,UNIVERSITY OF MIAMI,2019,EPO
EP3517617A1,CORTEVA,2019,EPO
EP3517962A1,SEIKAGAKU CORPORATION,2019,EPO
EP3521427A1,SUMITOMO CHEMICAL,2019,EPO
EP3524676A1,STANFORD UNIVERSITY,2019,EPO
EP3530670A1,SEIKAGAKU CORPORATION,2019,EPO
EP3536780A1,ASYMCHEM LABORATORIES,2019,EPO
EP3555294A1,BENITEC BIOPHARMA,2019,EPO
EP3568022A1,GOVERNMENT OF CHINA,2019,EPO
EP3568470A1,"CHRISTIANA CARE HEALTH SERVICES INC [US], NOVELLUSDX LTD [IL]",2019,EPO
EP3571305A1,BAYER,2019,EPO
EP3572522A1,AJINOMOTO,2019,EPO
EP3572523A1,BAYER,2019,EPO
EP3574092A1,PRECIGEN,2019,EPO
EP3575308A1,BAYER,2019,EPO
EP3583201A1,UNIVERSITY OF PITTSBURGH,2019,EPO
EP3583219A1,UNIV BRITISH COLUMBIA [CA],2019,EPO
EP3585394A1,OLEMA PHARMACEUTICALS INC [US],2020,EPO
EP3587435A1,BAYER,2020,EPO
EP3587436A1,BAYER,2020,EPO
EP3587437A1,BAYER,2020,EPO
EP3589373A1,OBSIDIAN THERAPEUTICS INC [US],2020,EPO
EP3589646A1,OBSIDIAN THERAPEUTICS INC [US],2020,EPO
EP3591049A1,SEIKAGAKU CORPORATION,2020,EPO
EP3600357A2,STANFORD UNIVERSITY,2020,EPO
EP3601557A1,PEBBLE LABS INC [US],2020,EPO
EP3609315A1,UNIVERSITY OF CALIFORNIA,2020,EPO
EP3613278A1,BAYER,2020,EPO
EP3613279A1,BAYER,2020,EPO
EP3613280A1,BAYER,2020,EPO
EP3617312A1,FUJITA ACADEMY,2020,EPO
EP3635124A1,PROVIVI INC,2020,EPO
EP3663400A1,SEIKAGAKU CORPORATION,2020,EPO
EP3673066A1,CSIRO,2020,EPO
EP3679123A1,NEW PORTAL LTD [CN],2020,EPO
EP3679137A1,STANFORD UNIVERSITY,2020,EPO
EP3681523A1,THE OHIO STATE INNOVATION FOUND,2020,EPO
EP3683313A1,NIPRO CORP,2020,EPO
EP3684896A1,GINKGO,2020,EPO
EP3690057A1,MITSUBISHI,2020,EPO
EP3692158A1,ELI LILLY AND COMPANY,2020,EPO
EP3697452A1,CIEMAT,2020,EPO
EP3702468A1,CHR HANSEN,2020,EPO
EP3713586A1,TELESIS BIO,2020,EPO
EP3715359A1,VACDIAGN BIOTECHNOLOGY CO LTD [CN],2020,EPO
EP3740246A1,AGENCY FOR SCIENCE TECHNOLOGY AMD RESEARCH,2020,EPO
EP3753551A1,G&P BIOSCIENCES,2020,EPO
EP3765623A1,GOVERNMENT OF CHINA,2021,EPO
EP3778629A1,PHARCHOICE THERAPEUTICS INC [CN],2021,EPO
EP3778866A1,QIBEBT,2021,EPO
EP3778912A1,AJINOMOTO,2021,EPO
EP3782465A1,UNIVERSITY OF POTSDAM,2021,EPO
